tag,question_principale*,questions_alternatives,reponse_courte,reponse_longue*,categorie*,mots_cles,priorite,tags_associes,icone,source,url_source,valide_jusqua
labo_metrologie,est-ce que vous étalonner les thermomètres ,Etalonnage des chaines de mesure de température ,"Oui le CETIM est accrédité par Algerac en étalonnage des chaîne de mesure de température (Exemple: Pt100, Thermocouple, etc.)",Oui le CETIM est accrédité par Algerac en étalonnage des chaîne de mesure de température de -39°C à 650°C en laboratoire et de -20°C à 550°C sur site client pour tous les types de chaines de mesures de températures numériques et analogiques à capteur externe ,Métrologie,température | thermomètre |  accréditation |  site client ,10,,,,,à mettre à jour annuellement
labo_metrologie,est-ce que vous réalisez les qualifications des équipements de laboratoire pharmaceutiques ,Guides BPL/  PBF  | pharmacopée  | QO/ QP  | qualification de performance et qualification opérationnelle  | qualification d'installation ,/,"Oui le CETIM réalise les qualifications opérationnelles et de performance de certains équipements (exemple: Zone de stockage, balance, étuve, etc)",Métrologie,Hvac | pharma | qualif | qualification | BPL,10,,,,,à mettre à jour annuellement
labo_metrologie,Quels sont les laboratoires de métrologie du CETIM ?,organigramme métrologie | organisation métrologie CETIM ,/,"Les laboratoires de métrologie du CETIM sont organisés en trois laboratoires : laboratoire Température/Humidité, le laboratoire Masse/Dimensionnel et le laboratoire Force.",Métrologie,,5,,,,,à mettre à jour annuellement
labo_metrologie,Est-ce que les étalons utilisés sont traçables au système international,Raccordement | SI | traçabilité ,/,Le CETIM assure via les étalonnages qu'il assure la traçabilité au système international d'unités (SI) au moyen d'une chaine ininterrompue et documentée pour toutes les prestations qu'il fournit qu'elles soient accrédités ou hors accréditation.,Métrologie,Raccordement | SI | traçabilité ,10,,,,,à mettre à jour annuellement
labo_metrologie,Quel est la méthode utilisée pour l'étalonnage,Norme | méthode d'étalonnage | ,/,Pour chaque étalonnage/ caractérisation / qualification nos laboratoires appliquent la dernire version valide d'une méthode normalisée ou équivalente conformément aux bonnes pratiques du domaine.,Métrologie,Norme | méthode d'étalonnage | ,8,,,,,à mettre à jour annuellement
labo_metrologie,L'étalonnage est-il réalisé sur site ou en laboratoire,lieu d'étalonnage ,/,"En fonction des pratiques usuelles dans chaque domaine de métrologie, et en fonction des moyens du CETIM et du besoin du client, le CETIM réalise les prestations sur site client et en laboratoire (exemple: étalonnage d'une balance sur site client, étalonnage d'une masse en laboratoire et étalonnage d'une chaîne de mesure de température en laboratoire ou sur site)",Métrologie,site  | lieu  | déplacement  | mission ,10,,,,,à mettre à jour annuellement
labo_metrologie,Quels sont les jours de réception des masses à étalonner,Dépôt des masses ,/,"Le jour de réception des masses et poids à étalonner a été fixée pour le jeudi de chaque semaine en fonction du RDV préalablement validé, si le jeudi est un jour férié la réception est réalisée le Mercredi.",Métrologie,réception  | masse  | poids  | dépôt ,10,,,,,à mettre à jour annuellement
labo_metrologie,quels sont les CMC du laboratoire métrologie du CETIM ,meilleures incertitudes de mesure | Measurement capability | ,Les CMC du laboratoire métrologie du CETIM sont publiées sur le site d'Algerac sous le numéro 1-1-046,"Les CMC du laboratoire métrologie du CETIM sont publiées sur le site d'Algerac sous le numéro 1-1-046, ça correspond au meilleurs incertitudes auxquelles prétend le laboratoire sur chaque domaine d'accréditation, selon le domaine la réalisation de l'étalonnage au niveau d'incertitude correspondant aux CMC n'est pas nécessairement systématique et est réalisée uniquement à la demande du client ",Métrologie,CMC  | incertitudes  | raccordement  | SI  | traçabilité,10,,,,,à mettre à jour chaque 3 ans 
labo_metrologie,Qui signe le certificat d'étalonnage (métrologie) ,/,/,Les certificats d'étalonnage sont revus et approuvés par le personnel compétent du CETIM conformément aux exigences des référentiels d'accréditation et de certifications et au système management en vigueur ,Métrologie,signature  | validation  | certificats  | rapports,10,,,,,Valid
labo_metrologie,Quelle est la fréquence d'étalonnage des équipements de mesure,quelle est la périodicité de raccordement  | période d'étalonnage | date du prochain étalonnage,/,"Les estimations des intervalles de confirmations métrologiques (périodicités) dépendent de plusieurs facteurs connus par l'utilisateur de l'équipement, aussi plusieurs normes traitent ce sujet, les laboratoires de métrologie du CETIM ne suggèrent aucune périodicité de réétalonnage.",Métrologie,Périodicité | réétalonnage | fréquence ,10,,,,,Valid
