tag,question_principale,questions_alternatives,reponse_courte,reponse_longue,categorie,mots_cles,priorite,tags_associes
concassage_delai,Quel est le délai de réalisation de l'essai « CONCASSAGE » ?,délai de l'essai concassage | combien de temps prend l'essai concassage ? | quand aurai-je les résultats pour concassage | temps de traitement concassage,Le délai de réalisation de l'essai « CONCASSAGE » est de **3 jours**.,Le laboratoire réalise l'essai « CONCASSAGE » dans un délai de **3 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"concassage, préparation, échantillon",Basse,"concassage_norme, concassage_accreditation"
concassage_accreditation,L'essai « CONCASSAGE » est-il accrédité ?,accréditation de l'essai concassage | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour concassage | concassage accrédité,"Non, l'essai « CONCASSAGE » n'est pas accrédité.",L'essai « CONCASSAGE » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"concassage, préparation, échantillon",Basse,"concassage_norme, concassage_delai"
decoupage_longitudinal_carottes_norme,Selon quelle norme réalisez-vous l'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » ?,norme découpage longitudinal des carottes | référence normative de l'essai découpage longitudinal des carottes | quelle norme utilisez-vous pour cet essai ? | découpage longitudinal des carottes norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"decoupage, longitudinal, carottes, préparation, échantillon",Basse,"decoupage_longitudinal_carottes_delai, decoupage_longitudinal_carottes_accreditation"
decoupage_longitudinal_carottes_delai,Quel est le délai de réalisation de l'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » ?,délai de l'essai découpage longitudinal des carottes | combien de temps prend l'essai découpage longitudinal des carottes ? | quand aurai-je les résultats pour découpage longitudinal des carottes | temps de traitement découpage longitudinal des carottes,Le délai de réalisation de l'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » est de **3 jours**.,Le laboratoire réalise l'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » dans un délai de **3 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"decoupage, longitudinal, carottes, préparation, échantillon",Basse,"decoupage_longitudinal_carottes_norme, decoupage_longitudinal_carottes_accreditation"
decoupage_longitudinal_carottes_accreditation,L'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » est-il accrédité ?,accréditation de l'essai découpage longitudinal des carottes | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour découpage longitudinal des carottes | découpage longitudinal des carottes accrédité,"Non, l'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » n'est pas accrédité.",L'essai « DÉCOUPAGE LONGITUDINAL DES CAROTTES » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"decoupage, longitudinal, carottes, préparation, échantillon",Basse,"decoupage_longitudinal_carottes_norme, decoupage_longitudinal_carottes_delai"
decoupage_cubes_norme,Selon quelle norme réalisez-vous l'essai « DÉCOUPAGE DE CUBES » ?,norme découpage de cubes | référence normative de l'essai découpage de cubes | quelle norme utilisez-vous pour cet essai ? | découpage de cubes norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « DÉCOUPAGE DE CUBES » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"decoupage, cubes, préparation, échantillon",Basse,"decoupage_cubes_delai, decoupage_cubes_accreditation"
decoupage_cubes_delai,Quel est le délai de réalisation de l'essai « DÉCOUPAGE DE CUBES » ?,délai de l'essai découpage de cubes | combien de temps prend l'essai découpage de cubes ? | quand aurai-je les résultats pour découpage de cubes | temps de traitement découpage de cubes,Le délai de réalisation de l'essai « DÉCOUPAGE DE CUBES » est de **5 jours**.,Le laboratoire réalise l'essai « DÉCOUPAGE DE CUBES » dans un délai de **5 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"decoupage, cubes, préparation, échantillon",Basse,"decoupage_cubes_norme, decoupage_cubes_accreditation"
decoupage_cubes_accreditation,L'essai « DÉCOUPAGE DE CUBES » est-il accrédité ?,accréditation de l'essai découpage de cubes | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour découpage de cubes | découpage de cubes accrédité,"Non, l'essai « DÉCOUPAGE DE CUBES » n'est pas accrédité.",L'essai « DÉCOUPAGE DE CUBES » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"decoupage, cubes, préparation, échantillon",Basse,"decoupage_cubes_norme, decoupage_cubes_delai"
decoupage_eprouvettes_norme,Selon quelle norme réalisez-vous l'essai « DÉCOUPAGE D'ÉPROUVETTES » ?,norme découpage d'éprouvettes | référence normative de l'essai découpage d'éprouvettes | quelle norme utilisez-vous pour cet essai ? | découpage d'éprouvettes norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « DÉCOUPAGE D'ÉPROUVETTES » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"decoupage, eprouvettes, préparation, échantillon",Basse,"decoupage_eprouvettes_delai, decoupage_eprouvettes_accreditation"
decoupage_eprouvettes_delai,Quel est le délai de réalisation de l'essai « DÉCOUPAGE D'ÉPROUVETTES » ?,délai de l'essai découpage d'éprouvettes | combien de temps prend l'essai découpage d'éprouvettes ? | quand aurai-je les résultats pour découpage d'éprouvettes | temps de traitement découpage d'éprouvettes,Le délai de cette prestation vous sera communiqué par le laboratoire au moment de la demande.,Le délai de réalisation de l'essai « DÉCOUPAGE D'ÉPROUVETTES » dépend des conditions de la demande. Contactez le laboratoire pour connaître le délai exact applicable à votre échantillon.,Préparation d'échantillons,"decoupage, eprouvettes, préparation, échantillon",Basse,"decoupage_eprouvettes_norme, decoupage_eprouvettes_accreditation"
decoupage_eprouvettes_accreditation,L'essai « DÉCOUPAGE D'ÉPROUVETTES » est-il accrédité ?,accréditation de l'essai découpage d'éprouvettes | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour découpage d'éprouvettes | découpage d'éprouvettes accrédité,"Non, l'essai « DÉCOUPAGE D'ÉPROUVETTES » n'est pas accrédité.",L'essai « DÉCOUPAGE D'ÉPROUVETTES » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"decoupage, eprouvettes, préparation, échantillon",Basse,"decoupage_eprouvettes_norme, decoupage_eprouvettes_delai"
decoupage_polissage_norme,Selon quelle norme réalisez-vous l'essai « DÉCOUPAGE ET POLISSAGE » ?,norme découpage et polissage | référence normative de l'essai découpage et polissage | quelle norme utilisez-vous pour cet essai ? | découpage et polissage norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « DÉCOUPAGE ET POLISSAGE » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"decoupage, polissage, préparation, échantillon",Basse,"decoupage_polissage_delai, decoupage_polissage_accreditation"
decoupage_polissage_delai,Quel est le délai de réalisation de l'essai « DÉCOUPAGE ET POLISSAGE » ?,délai de l'essai découpage et polissage | combien de temps prend l'essai découpage et polissage ? | quand aurai-je les résultats pour découpage et polissage | temps de traitement découpage et polissage,Le délai de cette prestation vous sera communiqué par le laboratoire au moment de la demande.,Le délai de réalisation de l'essai « DÉCOUPAGE ET POLISSAGE » dépend des conditions de la demande. Contactez le laboratoire pour connaître le délai exact applicable à votre échantillon.,Préparation d'échantillons,"decoupage, polissage, préparation, échantillon",Basse,"decoupage_polissage_norme, decoupage_polissage_accreditation"
decoupage_polissage_accreditation,L'essai « DÉCOUPAGE ET POLISSAGE » est-il accrédité ?,accréditation de l'essai découpage et polissage | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour découpage et polissage | découpage et polissage accrédité,"Non, l'essai « DÉCOUPAGE ET POLISSAGE » n'est pas accrédité.",L'essai « DÉCOUPAGE ET POLISSAGE » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"decoupage, polissage, préparation, échantillon",Basse,"decoupage_polissage_norme, decoupage_polissage_delai"
finissage_0_063_mm_norme,"Selon quelle norme réalisez-vous l'essai « FINISSAGE À 0,063 MM » ?","norme finissage à 0,063 mm | référence normative de l'essai finissage à 0,063 mm | quelle norme utilisez-vous pour cet essai ? | finissage à 0,063 mm norme applicable",Cet essai est réalisé selon notre mode opératoire interne.,"Le laboratoire réalise l'essai « FINISSAGE À 0,063 MM » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.",Préparation d'échantillons,"finissage, préparation, échantillon",Basse,"finissage_0_063_mm_delai, finissage_0_063_mm_accreditation"
finissage_0_063_mm_delai,"Quel est le délai de réalisation de l'essai « FINISSAGE À 0,063 MM » ?","délai de l'essai finissage à 0,063 mm | combien de temps prend l'essai finissage à 0,063 mm ? | quand aurai-je les résultats pour finissage à 0,063 mm | temps de traitement finissage à 0,063 mm","Le délai de réalisation de l'essai « FINISSAGE À 0,063 MM » est de **3 jours**.","Le laboratoire réalise l'essai « FINISSAGE À 0,063 MM » dans un délai de **3 jours** à compter de la réception de l'échantillon.",Préparation d'échantillons,"finissage, préparation, échantillon",Basse,"finissage_0_063_mm_norme, finissage_0_063_mm_accreditation"
finissage_0_063_mm_accreditation,"L'essai « FINISSAGE À 0,063 MM » est-il accrédité ?","accréditation de l'essai finissage à 0,063 mm | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour finissage à 0,063 mm | finissage à 0,063 mm accrédité","Non, l'essai « FINISSAGE À 0,063 MM » n'est pas accrédité.","L'essai « FINISSAGE À 0,063 MM » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.",Préparation d'échantillons,"finissage, préparation, échantillon",Basse,"finissage_0_063_mm_norme, finissage_0_063_mm_delai"
finissage_0_1_mm_norme,"Selon quelle norme réalisez-vous l'essai « FINISSAGE À 0,1 MM » ?","norme finissage à 0,1 mm | référence normative de l'essai finissage à 0,1 mm | quelle norme utilisez-vous pour cet essai ? | finissage à 0,1 mm norme applicable",Cet essai est réalisé selon notre mode opératoire interne.,"Le laboratoire réalise l'essai « FINISSAGE À 0,1 MM » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.",Préparation d'échantillons,"finissage, préparation, échantillon",Basse,"finissage_0_1_mm_delai, finissage_0_1_mm_accreditation"
finissage_0_1_mm_delai,"Quel est le délai de réalisation de l'essai « FINISSAGE À 0,1 MM » ?","délai de l'essai finissage à 0,1 mm | combien de temps prend l'essai finissage à 0,1 mm ? | quand aurai-je les résultats pour finissage à 0,1 mm | temps de traitement finissage à 0,1 mm","Le délai de réalisation de l'essai « FINISSAGE À 0,1 MM » est de **3 jours**.","Le laboratoire réalise l'essai « FINISSAGE À 0,1 MM » dans un délai de **3 jours** à compter de la réception de l'échantillon.",Préparation d'échantillons,"finissage, préparation, échantillon",Basse,"finissage_0_1_mm_norme, finissage_0_1_mm_accreditation"
finissage_0_1_mm_accreditation,"L'essai « FINISSAGE À 0,1 MM » est-il accrédité ?","accréditation de l'essai finissage à 0,1 mm | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour finissage à 0,1 mm | finissage à 0,1 mm accrédité","Non, l'essai « FINISSAGE À 0,1 MM » n'est pas accrédité.","L'essai « FINISSAGE À 0,1 MM » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.",Préparation d'échantillons,"finissage, préparation, échantillon",Basse,"finissage_0_1_mm_norme, finissage_0_1_mm_delai"
preparation_echantillons_pour_envoi_etranger_norme,Selon quelle norme réalisez-vous l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » ?,norme préparation des échantillons pour envoi à l'étranger | référence normative de l'essai préparation des échantillons pour envoi à l'étranger | quelle norme utilisez-vous pour cet essai ? | préparation des échantillons pour envoi à l'étranger norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"preparation, echantillons, envoi, etranger, préparation, échantillon",Basse,"preparation_echantillons_pour_envoi_etranger_delai, preparation_echantillons_pour_envoi_etranger_accreditation"
preparation_echantillons_pour_envoi_etranger_delai,Quel est le délai de réalisation de l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » ?,délai de l'essai préparation des échantillons pour envoi à l'étranger | combien de temps prend l'essai préparation des échantillons pour envoi à l'étranger ? | quand aurai-je les résultats pour préparation des échantillons pour envoi à l'étranger | temps de traitement préparation des échantillons pour envoi à l'étranger,Le délai de réalisation de l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » est de **3 jours**.,Le laboratoire réalise l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » dans un délai de **3 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"preparation, echantillons, envoi, etranger, préparation, échantillon",Basse,"preparation_echantillons_pour_envoi_etranger_norme, preparation_echantillons_pour_envoi_etranger_accreditation"
preparation_echantillons_pour_envoi_etranger_accreditation,L'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » est-il accrédité ?,accréditation de l'essai préparation des échantillons pour envoi à l'étranger | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour préparation des échantillons pour envoi à l'étranger | préparation des échantillons pour envoi à l'étranger accrédité,"Non, l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » n'est pas accrédité.",L'essai « PRÉPARATION DES ÉCHANTILLONS POUR ENVOI À L'ÉTRANGER » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"preparation, echantillons, envoi, etranger, préparation, échantillon",Basse,"preparation_echantillons_pour_envoi_etranger_norme, preparation_echantillons_pour_envoi_etranger_delai"
preparation_echantillons_pour_essai_granulat_norme,Selon quelle norme réalisez-vous l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » ?,norme préparation des échantillons pour essai sur granulat | référence normative de l'essai préparation des échantillons pour essai sur granulat | quelle norme utilisez-vous pour cet essai ? | préparation des échantillons pour essai sur granulat norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"essai, preparation, echantillons, granulat, préparation, échantillon",Basse,"preparation_echantillons_pour_essai_granulat_delai, preparation_echantillons_pour_essai_granulat_accreditation"
preparation_echantillons_pour_essai_granulat_delai,Quel est le délai de réalisation de l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » ?,délai de l'essai préparation des échantillons pour essai sur granulat | combien de temps prend l'essai préparation des échantillons pour essai sur granulat ? | quand aurai-je les résultats pour préparation des échantillons pour essai sur granulat | temps de traitement préparation des échantillons pour essai sur granulat,Le délai de réalisation de l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » est de **2 jours**.,Le laboratoire réalise l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » dans un délai de **2 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"essai, preparation, echantillons, granulat, préparation, échantillon",Basse,"preparation_echantillons_pour_essai_granulat_norme, preparation_echantillons_pour_essai_granulat_accreditation"
preparation_echantillons_pour_essai_granulat_accreditation,L'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » est-il accrédité ?,accréditation de l'essai préparation des échantillons pour essai sur granulat | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour préparation des échantillons pour essai sur granulat | préparation des échantillons pour essai sur granulat accrédité,"Non, l'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » n'est pas accrédité.",L'essai « PRÉPARATION DES ÉCHANTILLONS POUR ESSAI SUR GRANULAT » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"essai, preparation, echantillons, granulat, préparation, échantillon",Basse,"preparation_echantillons_pour_essai_granulat_norme, preparation_echantillons_pour_essai_granulat_delai"
preparation_lames_minces_norme,Selon quelle norme réalisez-vous l'essai « PRÉPARATION DE LAMES MINCES » ?,norme préparation de lames minces | référence normative de l'essai préparation de lames minces | quelle norme utilisez-vous pour cet essai ? | préparation de lames minces norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « PRÉPARATION DE LAMES MINCES » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"preparation, lames, minces, préparation, échantillon",Basse,"preparation_lames_minces_delai, preparation_lames_minces_accreditation"
preparation_lames_minces_delai,Quel est le délai de réalisation de l'essai « PRÉPARATION DE LAMES MINCES » ?,délai de l'essai préparation de lames minces | combien de temps prend l'essai préparation de lames minces ? | quand aurai-je les résultats pour préparation de lames minces | temps de traitement préparation de lames minces,Le délai de réalisation de l'essai « PRÉPARATION DE LAMES MINCES » est de **5 jours**.,Le laboratoire réalise l'essai « PRÉPARATION DE LAMES MINCES » dans un délai de **5 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"preparation, lames, minces, préparation, échantillon",Basse,"preparation_lames_minces_norme, preparation_lames_minces_accreditation"
preparation_lames_minces_accreditation,L'essai « PRÉPARATION DE LAMES MINCES » est-il accrédité ?,accréditation de l'essai préparation de lames minces | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour préparation de lames minces | préparation de lames minces accrédité,"Non, l'essai « PRÉPARATION DE LAMES MINCES » n'est pas accrédité.",L'essai « PRÉPARATION DE LAMES MINCES » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"preparation, lames, minces, préparation, échantillon",Basse,"preparation_lames_minces_norme, preparation_lames_minces_delai"
stockage_archivage_caisses_carottes_au_dela_norme,Selon quelle norme réalisez-vous l'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » ?,norme stockage et archivage des caisses à carottes au-delà de six mois | référence normative de l'essai stockage et archivage des caisses à carottes au-delà de six mois | quelle norme utilisez-vous pour cet essai ? | stockage et archivage des caisses à carottes au-delà de six mois norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"stockage, archivage, caisses, carottes, dela, six, préparation, échantillon",Basse,"stockage_archivage_caisses_carottes_au_dela_delai, stockage_archivage_caisses_carottes_au_dela_accreditation"
stockage_archivage_caisses_carottes_au_dela_delai,Quel est le délai de réalisation de l'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » ?,délai de l'essai stockage et archivage des caisses à carottes au-delà de six mois | combien de temps prend l'essai stockage et archivage des caisses à carottes au-delà de six mois ? | quand aurai-je les résultats pour stockage et archivage des caisses à carottes au-delà de six mois | temps de traitement stockage et archivage des caisses à carottes au-delà de six mois,Le délai de cette prestation vous sera communiqué par le laboratoire au moment de la demande.,Le délai de réalisation de l'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » dépend des conditions de la demande. Contactez le laboratoire pour connaître le délai exact applicable à votre échantillon.,Préparation d'échantillons,"stockage, archivage, caisses, carottes, dela, six, préparation, échantillon",Basse,"stockage_archivage_caisses_carottes_au_dela_norme, stockage_archivage_caisses_carottes_au_dela_accreditation"
stockage_archivage_caisses_carottes_au_dela_accreditation,L'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » est-il accrédité ?,accréditation de l'essai stockage et archivage des caisses à carottes au-delà de six mois | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour stockage et archivage des caisses à carottes au-delà de six mois | stockage et archivage des caisses à carottes au-delà de six mois accrédité,"Non, l'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » n'est pas accrédité.",L'essai « STOCKAGE ET ARCHIVAGE DES CAISSES À CAROTTES AU-DELÀ DE SIX MOIS » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"stockage, archivage, caisses, carottes, dela, six, préparation, échantillon",Basse,"stockage_archivage_caisses_carottes_au_dela_norme, stockage_archivage_caisses_carottes_au_dela_delai"
mission_prelevement_norme,Selon quelle norme réalisez-vous l'essai « MISSION DE PRÉLÈVEMENT » ?,norme mission de prélèvement | référence normative de l'essai mission de prélèvement | quelle norme utilisez-vous pour cet essai ? | mission de prélèvement norme applicable,Cet essai est réalisé selon notre mode opératoire interne.,Le laboratoire réalise l'essai « MISSION DE PRÉLÈVEMENT » selon son mode opératoire interne. Rapprochez-vous de nous pour plus de détails sur la méthode appliquée.,Préparation d'échantillons,"mission, prelevement, préparation, échantillon",Basse,"mission_prelevement_delai, mission_prelevement_accreditation"
mission_prelevement_delai,Quel est le délai de réalisation de l'essai « MISSION DE PRÉLÈVEMENT » ?,délai de l'essai mission de prélèvement | combien de temps prend l'essai mission de prélèvement ? | quand aurai-je les résultats pour mission de prélèvement | temps de traitement mission de prélèvement,Le délai de réalisation de l'essai « MISSION DE PRÉLÈVEMENT » est de **3 jours**.,Le laboratoire réalise l'essai « MISSION DE PRÉLÈVEMENT » dans un délai de **3 jours** à compter de la réception de l'échantillon.,Préparation d'échantillons,"mission, prelevement, préparation, échantillon",Basse,"mission_prelevement_norme, mission_prelevement_accreditation"
